                                                             Stdlib	                                                                                     Containers	                                                                             Batteries	                                                                                                            Base
	CCArrayLabels.( -- ) : int -> int -> int array 		
	CCArrayLabels.( --^ ) : int -> int -> int array 		
	CCArrayLabels.( >>= ) : 'a array -> ('a -> 'b array) -> 'b array 		
	CCArrayLabels.( >>| ) : 'a array -> ('a -> 'b) -> 'b array 		
	CCArrayLabels.( >|= ) : 'a array -> ('a -> 'b) -> 'b array 		
	CCArrayLabels.( and* ) : 'a array -> 'b array -> ('a * 'b) array 		
	CCArrayLabels.( and+ ) : 'a array -> 'b array -> ('a * 'b) array 		
	CCArrayLabels.( let* ) : 'a array -> ('a -> 'b array) -> 'b array 		
	CCArrayLabels.( let+ ) : 'a array -> ('a -> 'b) -> 'b array 		
ArrayLabels.append : 'a array -> 'a array -> 'a array 	CCArrayLabels.append : 'a array -> 'a array -> 'a array 		Base.Array.append : 'a array -> 'a array -> 'a array
			Base.Array.binary_search : ('a array, 'a, 'key) Base.Binary_searchable_intf.binary_search
			Base.Array.binary_search_segmented : ('a array, 'a) Base.Binary_searchable_intf.binary_search_segmented
ArrayLabels.blit : src:'a array -> src_pos:int -> dst:'a array -> dst_pos:int -> len:int -> unit 	CCArrayLabels.blit : src:'a array -> src_pos:int -> dst:'a array -> dst_pos:int -> len:int -> unit 	BatArray.Labels.blit : src:'a array -> src_pos:int -> dst:'a array -> dst_pos:int -> len:int -> unit 	Base.Array0.blit : src:'a array ? src_pos:int -> dst:'a array -> dst_pos:int -> len:int -> unit
			Base.Array.blito : ('a array, 'a array) Base.Blit_intf.blito
	CCArrayLabels.bsearch : cmp:('a -> 'a -> int) -> key:'a -> 'a array -> [ `All_bigger | `All_lower | `At of int | `Empty | `Just_after of int ] 		
		BatArray.cartesian_product : 'a array -> 'b array -> ('a * 'b) array 	Base.Array.cartesian_product : 'a array -> 'b array -> ('a * 'b) array
	CCArrayLabels.compare : 'a CCArrayLabels.ord -> 'a array CCArrayLabels.ord 		Base.Array.compare : ('a -> 'a -> int) -> 'a array -> 'a array -> int
ArrayLabels.concat : 'a array list -> 'a array 	CCArrayLabels.concat : 'a array list -> 'a array 		Base.Array.concat : 'a array list -> 'a array
			Base.Array.concat_map : 'a array -> f:('a -> 'b array) -> 'b array
			Base.Array.concat_mapi : 'a array -> f:(int -> 'a -> 'b array) -> 'b array
ArrayLabels.copy : 'a array -> 'a array 	CCArrayLabels.copy : 'a array -> 'a array 		Base.Array.copy : 'a array -> 'a array
		BatArray.Labels.count_matching : f:('a -> bool) -> 'a array -> int 	Base.Array.count : 'a array -> f:('a -> bool) -> int
			Base.Array.counti : 'a array -> f:(int -> 'a -> bool) -> int
ArrayLabels.create : int -> 'a -> 'a array 	CCArrayLabels.create : int -> 'a -> 'a array 	BatArray.Labels.create : int -> init:'a -> 'a array 	Base.Array.create : len:int -> 'a -> 'a array
ArrayLabels.create_float : int -> float array 	CCArrayLabels.create_float : int -> float array 		
ArrayLabels.create_matrix : dimx:int -> dimy:int -> 'a -> 'a array array 	CCArrayLabels.create_matrix : dimx:int -> dimy:int -> 'a -> 'a array array 	BatArray.Labels.create_matrix : dimx:int -> dimy:int -> 'a -> 'a array array 	
	CCArrayLabels.empty : 'a array = []		
	CCArrayLabels.equal : 'a CCArrayLabels.equal -> 'a array CCArrayLabels.equal 		Base.Array.equal : ('a -> 'a -> bool) -> 'a array -> 'a array -> bool
	CCArrayLabels.except_idx : 'a array -> int -> 'a list 		
ArrayLabels.exists : f:('a -> bool) -> 'a array -> bool 	CCArrayLabels.exists : f:('a -> bool) -> 'a array -> bool 	BatArray.Labels.exists : f:('a -> bool) -> 'a array -> bool 	Base.Array.exists : 'a array -> f:('a -> bool) -> bool
ArrayLabels.exists2 : f:('a -> 'b -> bool) -> 'a array -> 'b array -> bool 	CCArrayLabels.exists2 : f:('a -> 'b -> bool) -> 'a array -> 'b array -> bool 		Base.Array.exists2_exn : 'a array -> 'b array -> f:('a -> 'b -> bool) -> bool
			Base.Array.existsi : 'a array -> f:(int -> 'a -> bool) -> bool
ArrayLabels.fast_sort : cmp:('a -> 'a -> int) -> 'a array -> unit 	CCArrayLabels.fast_sort : cmp:('a -> 'a -> int) -> 'a array -> unit 	BatArray.Labels.fast_sort : cmp:('a -> 'a -> int) -> 'a array -> unit 	
ArrayLabels.fill : 'a array -> pos:int -> len:int -> 'a -> unit 	CCArrayLabels.fill : 'a array -> pos:int -> len:int -> 'a -> unit 	BatArray.Labels.fill : 'a array -> pos:int -> len:int -> 'a -> unit 	Base.Array.fill : 'a array -> pos:int -> len:int -> 'a -> unit
	CCArrayLabels.filter : f:('a -> bool) -> 'a array -> 'a array 	BatArray.Labels.filter : f:('a -> bool) -> 'a array -> 'a array 	Base.Array.filter : 'a array -> f:('a -> bool) -> 'a array
	CCArrayLabels.filter_map : f:('a -> 'b option) -> 'a array -> 'b array 	BatArray.Labels.filter_map : f:('a -> 'b option) -> 'a array -> 'b array 	Base.Array.filter_map : 'a array -> f:('a -> 'b option) -> 'b array
			Base.Array.filter_mapi : 'a array -> f:(int -> 'a -> 'b option) -> 'b array
			Base.Array.filter_opt : 'a option array -> 'a array
			Base.Array.filteri : 'a array -> f:(int -> 'a -> bool) -> 'a array
		BatArray.Labels.find : f:('a -> bool) -> 'a array -> 'a 	Base.Array.find_exn : 'a array -> f:('a -> bool) -> 'a
			Base.Array.find : 'a array -> f:('a -> bool) -> 'a option
			Base.Array.find_consecutive_duplicate : 'a array -> equal:('a -> 'a -> bool) -> ('a * 'a) option
			Base.Array.find_map : 'a array -> f:('a -> 'b option) -> 'b option
			Base.Array.find_map_exn : 'a array -> f:('a -> 'b option) -> 'b
			Base.Array.find_mapi : 'a array -> f:(int -> 'a -> 'b option) -> 'b option
			Base.Array.find_mapi_exn : 'a array -> f:(int -> 'a -> 'b option) -> 'b
		BatArray.Labels.findi : f:('a -> bool) -> 'a array -> int 	
			Base.Array.findi : 'a array -> f:(int -> 'a -> bool) -> (int * 'a) option
			Base.Array.findi_exn : 'a array -> f:(int -> 'a -> bool) -> int * 'a
	CCArrayLabels.find_idx : f:('a -> bool) -> 'a array -> (int * 'a) option 		
	CCArrayLabels.find_map : f:('a -> 'b option) -> 'a array -> 'b option 		
	CCArrayLabels.find_map_i : f:(int -> 'a -> 'b option) -> 'a array -> 'b option 		
	CCArrayLabels.flat_map : f:('a -> 'b array) -> 'a array -> 'b array 		
	CCArrayLabels.fold : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a 	BatArray.Labels.fold : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a 	Base.Array.fold : 'a array -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum
	CCArrayLabels.fold2 : f:('acc -> 'a -> 'b -> 'acc) -> init:'acc -> 'a array -> 'b array -> 'acc 		Base.Array.fold2_exn : 'a array -> 'b array -> init:'c -> f:('c -> 'a -> 'b -> 'c) -> 'c
ArrayLabels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a 	CCArrayLabels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a 	BatArray.Labels.fold_left : f:('a -> 'b -> 'a) -> init:'a -> 'b array -> 'a 	
