                       Stdlib	                                 Containers	                                                            Batteries	                                                                      Base
	CCOpt.( <$> ) : ('a -> 'b) -> 'a option -> 'b option		
	CCOpt.( <*> ) : ('a -> 'b) option -> 'a option -> 'b option		
	CCOpt.( <+> ) : 'a option -> 'a option -> 'a option		
	CCOpt.( >>= ) : 'a option -> ('a -> 'b option) -> 'b option		Base.Option.( >>= ) : 'a option -> ('a -> 'b option) -> 'b option
	CCOpt.( >|= ) : 'a option -> ('a -> 'b) -> 'b option		Base.Option.( >>| ) : 'a option -> ('a -> 'b) -> 'b option
		BatOption.( |? ) : 'a option -> 'a -> 'a	
	CCOpt.( and* ) : 'a option -> 'b option -> ('a * 'b) option		
	CCOpt.( and+ ) : 'a option -> 'b option -> ('a * 'b) option		
	CCOpt.( let* ) : 'a option -> ('a -> 'b option) -> 'b option		
	CCOpt.( let+ ) : 'a option -> ('a -> 'b) -> 'b option		
		BatOption.Labels.map : f:('a -> 'b) -> 'a option -> 'b option	
		BatOption.Labels.map_default : f:('a -> 'b) -> 'b -> 'a option -> 'b	
		BatOption.Labels.may : f:('a -> unit) -> 'a option -> unit	
Option.None : 'a option = Option.None			Base.Option.None : 'a option = Base.Option.None
			Base.Option.all : 'a option list -> 'a list option
			Base.Option.all_unit : unit option list -> unit option
		BatOption.apply : ('a -> 'a) option -> 'a -> 'a	
Option.bind : 'a option -> ('a -> 'b option) -> 'b option	CCOpt.bind : 'a option -> ('a -> 'b option) -> 'b option	BatOption.bind : 'a option -> ('a -> 'b option) -> 'b option	Base.Option.bind : 'a option -> f:('a -> 'b option) -> 'b option
			Base.Option.both : 'a option -> 'b option -> ('a * 'b) option
			Base.Option.call : 'a -> f:('a -> unit) option -> unit
	CCOpt.choice : 'a option list -> 'a option		
	CCOpt.choice_iter : 'a option CCOpt.iter -> 'a option		
	CCOpt.choice_seq : 'a option Seq.t -> 'a option		
Option.compare : ('a -> 'a -> int) -> 'a option -> 'a option -> int	CCOpt.compare : ('a -> 'a -> int) -> 'a option -> 'a option -> int	BatOption.compare : ?cmp:('a -> 'a -> int) -> 'a option -> 'a option -> int	Base.Option.compare : ('a -> 'a -> int) -> 'a option -> 'a option -> int
			Base.Option.count : 'a option -> f:('a -> bool) -> int
		BatOption.default : 'a -> 'a option -> 'a	
		BatOption.default_delayed : (unit -> 'a) -> 'a option -> 'a	
		BatOption.enum : 'a option -> 'a BatEnum.t	
		BatOption.eq : ?eq:('a -> 'a -> bool) -> 'a option -> 'a option -> bool	
Option.equal : ('a -> 'a -> bool) -> 'a option -> 'a option -> bool	CCOpt.equal : ('a -> 'a -> bool) -> 'a option -> 'a option -> bool		Base.Option.equal : 'a Base.Equal.equal -> 'a option Base.Equal.equal
	CCOpt.exists : ('a -> bool) -> 'a option -> bool		Base.Option.exists : 'a option -> f:('a -> bool) -> bool
	CCOpt.filter : ('a -> bool) -> 'a option -> 'a option	BatOption.filter : ('a -> bool) -> 'a option -> 'a option	Base.Option.filter : 'a option -> f:('a -> bool) -> 'a option
			Base.Option.find : 'a option -> f:('a -> bool) -> 'a option
	CCOpt.flat_map : ('a -> 'b option) -> 'a option -> 'b option		Base.Option.find_map : 'a option -> f:('a -> 'b option) -> 'b option
			Base.Option.first_some : 'a option -> 'a option -> 'a option
Option.fold : none:'a -> some:('b -> 'a) -> 'b option -> 'a	CCOpt.fold : ('a -> 'b -> 'a) -> 'a -> 'b option -> 'a		Base.Option.fold : 'a option -> init:'accum -> f:('accum -> 'a -> 'accum) -> 'accum
