                                   Stdlib	                                                                                        Containers	                                                                                          Batteries  	                                                                                                                                 Base                        
	CCSeq.( -- ) : int -> int -> int Seq.t	BatSeq.( -- ) : int -> int -> int Seq.t	
		BatSeq.( --- ) : int -> int -> int Seq.t	
		BatSeq.( --. ) : float * float -> float -> float Seq.t	
	CCSeq.( --^ ) : int -> int -> int Seq.t	BatSeq.( --^ ) : int -> int -> int Seq.t	
		BatSeq.( --~ ) : char -> char -> char Seq.t	
	CCSeq.( <*> ) : ('a -> 'b) Seq.t -> 'a Seq.t -> 'b Seq.t		
	CCSeq.( <.> ) : ('a -> 'b) Seq.t -> 'a Seq.t -> 'b Seq.t		
	CCSeq.( >>- ) : 'a Seq.t -> ('a -> 'b Seq.t) -> 'b Seq.t		
	CCSeq.( >>= ) : 'a Seq.t -> ('a -> 'b Seq.t) -> 'b Seq.t		Base.Sequence.( >>= ) : 'a Base.Sequence.t -> ('a -> 'b Base.Sequence.t) -> 'b Base.Sequence.t
	CCSeq.( >|= ) : 'a Seq.t -> ('a -> 'b) -> 'b Seq.t		Base.Sequence.( >>| ) : 'a Base.Sequence.t -> ('a -> 'b) -> 'b Base.Sequence.t
		BatSeq.( // ) : 'a Seq.t -> ('a -> bool) -> 'a Seq.t	
		BatSeq.( //@ ) : 'a Seq.t -> ('a -> 'b option) -> 'b Seq.t	
		BatSeq.( /@ ) : 'a Seq.t -> ('a -> 'b) -> 'b Seq.t	
		BatSeq.( @/ ) : ('a -> 'b) -> 'a Seq.t -> 'b Seq.t	
		BatSeq.( @// ) : ('a -> 'b option) -> 'a Seq.t -> 'b Seq.t	
Seq.Nil : 'a Seq.node = Seq.Nil	CCSeq.Nil : 'a CCSeq.node = CCSeq.Nil	BatSeq.Nil : 'a BatSeq.node = BatSeq.Nil	
			Base.Sequence.all : 'a Base.Sequence.t list -> 'a list Base.Sequence.t
			Base.Sequence.all_unit : unit Base.Sequence.t list -> unit Base.Sequence.t
Seq.append : 'a Seq.t -> 'a Seq.t -> 'a Seq.t	CCSeq.append : 'a Seq.t -> 'a Seq.t -> 'a Seq.t	BatSeq.append : 'a Seq.t -> 'a Seq.t -> 'a Seq.t	Base.Sequence.append : 'a Base.Sequence.t -> 'a Base.Sequence.t -> 'a Base.Sequence.t
		BatSeq.assoc : 'a -> ('a * 'b) Seq.t -> 'b option	
		BatSeq.at : 'a Seq.t -> int -> 'a	
