                                                                    Batteries	                                                              Base
BatArray.Labels.findi : f:('a -> bool) -> 'a array -> int 	
BatArray.Labels.fold_while : p:('acc -> 'a -> bool) -> f:('acc -> 'a -> 'acc) -> init:'acc -> 'a array -> 'acc * int 	
BatArray.Labels.iter2i : f:(int -> 'a -> 'b -> unit) -> 'a array -> 'b array -> unit 	
BatArray.Labels.modify : f:('a -> 'a) -> 'a array -> unit 	
BatArray.Labels.modifyi : f:(int -> 'a -> 'a) -> 'a array -> unit 	
BatArray.avg : int array -> float 	
BatArray.backwards : 'a array -> 'a BatEnum.t 	
BatArray.cartesian_product : 'a array -> 'b array -> ('a * 'b) array 	
BatArray.count_matching : ('a -> bool) -> 'a array -> int 	
BatArray.decorate_fast_sort : ('a -> 'b) -> 'a array -> 'a array 	
BatArray.decorate_stable_sort : ('a -> 'b) -> 'a array -> 'a array 	
BatArray.enum : 'a array -> 'a BatEnum.t 	
BatArray.favg : float array -> float 	
BatArray.filteri : (int -> 'a -> bool) -> 'a array -> 'a array 	
BatArray.find : ('a -> bool) -> 'a array -> 'a 	
BatArray.find_all : ('a -> bool) -> 'a array -> 'a array 	
BatArray.findi : ('a -> bool) -> 'a array -> int 	
BatArray.fold_lefti : ('a -> int -> 'b -> 'a) -> 'a -> 'b array -> 'a 	
BatArray.fold_righti : (int -> 'b -> 'a -> 'a) -> 'b array -> 'a -> 'a 	
BatArray.fold_while : ('acc -> 'a -> bool) -> ('acc -> 'a -> 'acc) -> 'acc -> 'a array -> 'acc * int 	
BatArray.fsum : float array -> float 	
BatArray.head : 'a array -> int -> 'a array 	
BatArray.insert : 'a array -> 'a -> int -> 'a array 	
BatArray.is_sorted_by : ('a -> 'b) -> 'a array -> bool 	
BatArray.iter2i : (int -> 'a -> 'b -> unit) -> 'a array -> 'b array -> unit 	
BatArray.kahan_sum : float array -> float 	
BatArray.left : 'a array -> int -> 'a array 	
BatArray.max : 'a array -> 'a 	
BatArray.min : 'a array -> 'a 	
BatArray.min_max : 'a array -> 'a * 'a 	
BatArray.modify : ('a -> 'a) -> 'a array -> unit 	
BatArray.modifyi : (int -> 'a -> 'a) -> 'a array -> unit 	
BatArray.of_backwards : 'a BatEnum.t -> 'a array 	
BatArray.of_enum : 'a BatEnum.t -> 'a array 	
BatArray.ord : 'a BatOrd.ord -> 'a array BatOrd.ord 	
BatArray.partition : ('a -> bool) -> 'a array -> 'a array * 'a array 	
BatArray.pivot_split : 'a BatOrd.ord -> 'a array -> 'a -> int * int 	
BatArray.print : ?first:string -> ?last:string -> ?sep:string -> ('a, 'b) BatIO.printer -> ('a array, 'b) BatIO.printer 	
BatArray.range : 'a array -> int BatEnum.t 	
BatArray.reduce : ('a -> 'a -> 'a) -> 'a array -> 'a 	
BatArray.remove_at : int -> 'a array -> 'a array 	
BatArray.right : 'a array -> int -> 'a array 	
BatArray.singleton : 'a -> 'a array 	
BatArray.split : ('a * 'b) array -> 'a array * 'b array 	
BatArray.sum : int array -> int 	
BatArray.tail : 'a array -> int -> 'a array	
BatList.Labels.find_exn : f:('a -> bool) -> exn -> 'a list -> 'a	
BatList.Labels.findi : f:(int -> 'a -> bool) -> 'a list -> int * 'a	
BatList.Labels.remove_if : f:('a -> bool) -> 'a list -> 'a list	
BatList.Labels.rfind : f:('a -> bool) -> 'a list -> 'a	
BatList.Labels.subset : cmp:('a -> 'b -> int) -> 'a list -> 'b list -> bool	
BatList.assoc : 'a -> ('a * 'b) list -> 'b	
BatList.assoc_inv : 'b -> ('a * 'b) list -> 'a	
BatList.assoc_opt : 'a -> ('a * 'b) list -> 'b option	
BatList.assq_inv : 'b -> ('a * 'b) list -> 'a	
BatList.at : 'a list -> int -> 'a	
BatList.at_opt : 'a list -> int -> 'a option	
BatList.backwards : 'a list -> 'a BatEnum.t	
BatList.n_cartesian_product : 'a list list -> 'a list list	
BatList.cartesian_product : 'a list -> 'b list -> ('a * 'b) list	
BatList.dropwhile : ('a -> bool) -> 'a list -> 'a list	
BatList.enum : 'a list -> 'a BatEnum.t	
BatList.eq : 'a BatOrd.eq -> 'a list BatOrd.eq	
BatList.favg : float list -> float	
BatList.filteri_map : (int -> 'a -> 'b option) -> 'a list -> 'b list	
BatList.find_exn : ('a -> bool) -> exn -> 'a list -> 'a	
BatList.find_map : ('a -> 'b option) -> 'a list -> 'b	
BatList.findi : (int -> 'a -> bool) -> 'a list -> int * 'a	
BatList.first : 'a list -> 'a	
BatList.fold : ('a -> 'b -> 'a) -> 'a -> 'b list -> 'a	
BatList.fold_righti : (int -> 'b -> 'a -> 'a) -> 'b list -> 'a -> 'a	
BatList.fold_while : ('acc -> 'a -> bool) -> ('acc -> 'a -> 'acc) -> 'acc -> 'a list -> 'acc * 'a list	
BatList.frange : float -> [< `Downto | `To ] -> float -> int -> float list	
BatList.fsum : float list -> float	
BatList.group : ('a -> 'a -> int) -> 'a list -> 'a list list	
BatList.group_consecutive : ('a -> 'a -> bool) -> 'a list -> 'a list list	
BatList.index_of : 'a -> 'a list -> int option	
BatList.index_ofq : 'a -> 'a list -> int option	
BatList.iter2i : (int -> 'a -> 'b -> unit) -> 'a list -> 'b list -> unit	
BatList.kahan_sum : float list -> float	
BatList.last : 'a list -> 'a	
BatList.make : int -> 'a -> 'a list	
BatList.map2i : (int -> 'a -> 'b -> 'c) -> 'a list -> 'b list -> 'c list	
BatList.max : 'a list -> 'a	
BatList.mem_cmp : ('a -> 'a -> int) -> 'a -> 'a list -> bool	
BatList.min : 'a list -> 'a	
BatList.min_max : ?cmp:('a -> 'a -> int) -> 'a list -> 'a * 'a	
BatList.modify : 'a -> ('b -> 'b) -> ('a * 'b) list -> ('a * 'b) list	
BatList.modify_at : int -> ('a -> 'a) -> 'a list -> 'a list	
BatList.modify_def : 'b -> 'a -> ('b -> 'b) -> ('a * 'b) list -> ('a * 'b) list	
BatList.modify_opt : 'a -> ('b option -> 'b option) -> ('a * 'b) list -> ('a * 'b) list	
BatList.modify_opt_at : int -> ('a -> 'a option) -> 'a list -> 'a list	
BatList.nsplit : ('a -> bool) -> 'a list -> 'a list list	
BatList.ntake : int -> 'a list -> 'a list list	
BatList.of_backwards : 'a BatEnum.t -> 'a list	
BatList.of_enum : 'a BatEnum.t -> 'a list	
BatList.ord : 'a BatOrd.ord -> 'a list BatOrd.ord	
BatList.print : ?first:string -> ?last:string -> ?sep:string -> ('a BatInnerIO.output -> 'b -> unit) -> 'a BatInnerIO.output -> 'b list -> unit	
BatList.range : int -> [< `Downto | `To ] -> int -> int list	
